assessmentId,internalTaxonId,scientificName,code,name,note
84694321,22679393,Polyplectron schleiermacheri,3.4.1,Captive breeding/artificial propagation,"Collar and Butchart (2013) suggested that captive breeding should be considered.
"
90341807,22728245,Chlamydotis undulata,2.1,Site/area management,NA
90341807,22728245,Chlamydotis undulata,4.3,Awareness & communications,NA
90341807,22728245,Chlamydotis undulata,1.1,Site/area protection,NA
90341807,22728245,Chlamydotis undulata,3.1.1,Harvest management,NA
90563705,22720676,Pyrrhula murina,2.3,Habitat & natural process restoration," *Continue the replanting of native vegetation (particularly key food plants). 
</P>"
90563705,22720676,Pyrrhula murina,2.1,Site/area management," *Continue the removal and exclusion of exotic flora.
</P>"
90563705,22720676,Pyrrhula murina,6.1,Linked enterprises & livelihood alternatives," *Promote land use changes in the buffer areas around the SPA.
</P>"
92756666,22678132,Apteryx haastii,2.2,Invasive/problematic species control,Carry out 3-yearly aerial 1080 operations to control pests at all sites where >200 pairs can be protected. Carry out predator trapping at accessible sites (DOC â€˜mainland islandsâ€™ and community group projects) (H. Robertson <i>in litt.<i> 2016)
92756666,22678132,Apteryx haastii,4.3,Awareness & communications,"Educate and inform the public and encourage community involvement in Kiwi conservation (Robertson 2003, Holzapfel <i>et al</i>. 2008)."
92756666,22678132,Apteryx haastii,5.1.3,Sub-national level,"Promote legislative and policy changes to protect populations and encourage high-quality advocacy at all levels (Robertson 1998, Holzapfel <i>et al</i>. 2008). "
92756666,22678132,Apteryx haastii,3.2,Species recovery,"Intensively manage at least three, preferably four, populations to secure a minimum of 200 pairs within each and potentially create a source for introductions into other areas Carry out 3-yearly aerial 1080 operations to control pestslarge-scale predator control at all ssites where >200 pairs can be protected.the population is greater than 200 pairs, Carry out predator trapping at accessible sites (DOC â€˜mainland islandsâ€™ and community groups projects)(H. Robertson <i>in litt.<i> 2016)."
92758851,22678160,Nothocercus nigrocapillus,6.3,Market forces,Increase market pressures for sound land management and prevention of forest clearance on lands unsuitable for agriculture.
92758851,22678160,Nothocercus nigrocapillus,1.1,Site/area protection,Expand the protected area network to effectively protect IBAs.
92758851,22678160,Nothocercus nigrocapillus,2.1,Site/area management,"Effectively resource and manage existing and new protected areas, utilising emerging opportunities to finance protected area management with the joint aims of reducing carbon emissions and maximizing biodiversity conservation."
92761019,22678194,Crypturellus kerriae,4.3,Awareness & communications,"<B>Raise awareness of the species and its status in an effort to reduce hunting pressure.
</P>"
92761019,22678194,Crypturellus kerriae,5.1.2,National level,"<B>Grant the species legal protection in Colombia and Panama. 
</P>"
92761019,22678194,Crypturellus kerriae,1.1,Site/area protection,"<B>Increase the area of suitable habitat that has protected status. 
</P>"
92770934,22678379,Penelope perspicax,3.4.1,Captive breeding/artificial propagation,"Collar and Butchart (2013) suggested that captive breeding should be considered.
"
92770934,22678379,Penelope perspicax,2.1,Site/area management,"<B>Develop and implement an action plan for the species and its habitat<SUP>1,5</SUP></B>.
</P>"
92770934,22678379,Penelope perspicax,4.3,Awareness & communications,"<B>Provide posters and resources for an educational programme about cracids, particularly aimed at limiting hunting<SUP>5</SUP></B>.

</P>"
92771975,22678392,Penelope pileata,4.3,Awareness & communications,"Organise campaigns to raise awareness and reduce hunting and trapping for trade
</P>"
92771975,22678392,Penelope pileata,5.1.2,National level,"Campaign against proposed changes to the Brazilian Forest Code that would lead to a decrease in the width of the areas of riverine forest protected as Permanent Preservation Areas (APPs), which function as vital corridors in fragmented landscapes."
92771975,22678392,Penelope pileata,2.1,Site/area management,"Effectively resource and manage existing and new protected areas, utilising emerging opportunities to finance protected area management with the joint aims of reducing carbon emissions and maximizing biodiversity conservation."
92771975,22678392,Penelope pileata,6.3,Market forces,Increase market pressures for sound land management and prevention of forest clearance on lands unsuitable for agriculture.
92771975,22678392,Penelope pileata,1.1,Site/area protection,"Effectively protect Amaz&ocirc;nia (Tapaj&oacute;s) National Park and designate further protected areas within its lowland forest range.
</P>"
92772232,22678395,Penelope ochrogaster,2.1,Site/area management,"*Consider the development of sustainable forestry practices to supply materials for bridge repairs on the Transpantaneira road, and encourage sustainable forestry among cattle-farmers.

</P>"
92772232,22678395,Penelope ochrogaster,2.1,Site/area management,"*Protect populations in Pocon&eacute; from further habitat loss. 
</P>"
92772529,22678398,Penelope jacucaca,2.1,Site/area management,"Improve de facto protection of protected areas within its range.
</P>"
92772529,22678398,Penelope jacucaca,3.1.1,Harvest management,"Initiate local awareness campaigns to combat hunting in protected areas.
</P>"
92772529,22678398,Penelope jacucaca,3.2,Species recovery,"Develop and implement an action plan for the species and its habitat.
</P>"
92774326,22678449,Penelopina nigra,4.3,Awareness & communications,"Encourage local people to exploit sustainable alternative food sources.
</P>"
92774326,22678449,Penelopina nigra,1.1,Site/area protection,"Protect remaining forest habitat in existing reserves and by establishing new ones.
</P>"
92774326,22678449,Penelopina nigra,2.1,Site/area management,"Improve the management of protected areas<B><SUP>8</SUP></B>. 

</P>"
92774326,22678449,Penelopina nigra,2.3,Habitat & natural process restoration,"Promote habitat restoration both within and outside reserves across the species's range<B><SUP>8</SUP></B>.
</P>"
92774672,22678453,Oreophasis derbianus,1.1,Site/area protection,"Designate further areas at keys sites and ensure effective management<B><SUP>20</SUP></B>.
</P>"
92774672,22678453,Oreophasis derbianus,1.1,Site/area protection,"Create an international reserve at Volc&aacute;n Tacan&aacute;.
</P>"
92774672,22678453,Oreophasis derbianus,2.3,Habitat & natural process restoration,"In Guatemala, identify areas where reforestation with native species can be carried out<B><SUP>13</SUP></B>.
</P>"
92774672,22678453,Oreophasis derbianus,2.1,Site/area management,"Improve the managment of extisting protected areas across the species's range.
</P>"
92774672,22678453,Oreophasis derbianus,3.4.1,Captive breeding/artificial propagation,"Collar and Butchart (2013) suggested that captive breeding should be considered.
"
92774672,22678453,Oreophasis derbianus,5.4.2,National level,"Enforce existing laws.


</P>"
92776062,22678497,Pauxi pauxi,2.1,Site/area management," *Enforce existing laws on hunting and habitat protection<B><SUP>2</SUP></B>.
</P>"
92776062,22678497,Pauxi pauxi,3.4.1,Captive breeding/artificial propagation,"Captive breeding and reintroduction in Venezuela has been proposed (humboldt.org.co 2006; Matalobos 1991). 
"
92776062,22678497,Pauxi pauxi,4.3,Awareness & communications," *Develop educational programmes to combat hunting<B><SUP>3</SUP></B>.

</P>"
92776062,22678497,Pauxi pauxi,3.1.1,Harvest management," *Enforce existing laws on hunting and habitat protection<B><SUP>2</SUP></B>.
</P>"
92776389,22678521,Crax rubra,5.4.4,Scale unspecified,"Enforce hunting restrictions
</P>"
92776389,22678521,Crax rubra,4.3,Awareness & communications,"Introduce educational campaigns to reduce hunting pressure
</P>"
92777326,22678534,Crax alector,1.1,Site/area protection,Expand the protected area network to effectively protect IBAs.
92777326,22678534,Crax alector,2.1,Site/area management,"Effectively resource and manage existing and new protected areas, utilising emerging opportunities to finance protected area management with the joint aims of reducing carbon emissions and maximizing biodiversity conservation."
92777326,22678534,Crax alector,5.1.2,National level,"Campaign against proposed changes to the Brazilian Forest Code that would lead to a decrease in the width of the areas of riverine forest protected as Permanent Preservation Areas (APPs), which function as vital corridors in fragmented landscapes. "
92777326,22678534,Crax alector,6.3,Market forces,Increase market pressures for sound land management and prevention of forest clearance on lands unsuitable for agriculture.
