assessmentId,internalTaxonId,scientificName,code,name,note,redlistCategory
84694321,22679393,Polyplectron schleiermacheri,3.4.1,Ex-situ conservation,"Collar and Butchart (2013) suggested that captive breeding should be considered.
",Endangered
90341807,22728245,Chlamydotis undulata,2.1,Site/area management,NA,Vulnerable
90341807,22728245,Chlamydotis undulata,4.3,Awareness & communications,NA,Vulnerable
90341807,22728245,Chlamydotis undulata,1.1,Site/area protection,NA,Vulnerable
90341807,22728245,Chlamydotis undulata,3.1.1,Species management,NA,Vulnerable
90563705,22720676,Pyrrhula murina,2.3,Habitat & natural process restoration,"*Continue the replanting of native vegetation (particularly key food plants). 
</P>",Vulnerable
90563705,22720676,Pyrrhula murina,2.1,Site/area management,"*Continue the removal and exclusion of exotic flora.
</P>",Vulnerable
90563705,22720676,Pyrrhula murina,6.1,Linked enterprises & livelihood alternatives,"*Promote land use changes in the buffer areas around the SPA.
</P>",Vulnerable
92756666,22678132,Apteryx haastii,2.2,Invasive/problematic species control,Carry out 3-yearly aerial 1080 operations to control pests at all sites where >200 pairs can be protected. Carry out predator trapping at accessible sites (DOC â€˜mainland islandsâ€™ and community group projects) (H. Robertson <i>in litt.<i> 2016),Vulnerable
92756666,22678132,Apteryx haastii,4.3,Awareness & communications,"Educate and inform the public and encourage community involvement in Kiwi conservation (Robertson 2003, Holzapfel <i>et al</i>. 2008).",Vulnerable
92756666,22678132,Apteryx haastii,5.1.3,Legislation,"Promote legislative and policy changes to protect populations and encourage high-quality advocacy at all levels (Robertson 1998, Holzapfel <i>et al</i>. 2008).",Vulnerable
92756666,22678132,Apteryx haastii,3.2,Species recovery,"Intensively manage at least three, preferably four, populations to secure a minimum of 200 pairs within each and potentially create a source for introductions into other areas Carry out 3-yearly aerial 1080 operations to control pestslarge-scale predator control at all ssites where >200 pairs can be protected.the population is greater than 200 pairs, Carry out predator trapping at accessible sites (DOC â€˜mainland islandsâ€™ and community groups projects)(H. Robertson <i>in litt.<i> 2016).",Vulnerable
92758851,22678160,Nothocercus nigrocapillus,6.3,Market forces,Increase market pressures for sound land management and prevention of forest clearance on lands unsuitable for agriculture.,Vulnerable
92758851,22678160,Nothocercus nigrocapillus,1.1,Site/area protection,Expand the protected area network to effectively protect IBAs.,Vulnerable
92758851,22678160,Nothocercus nigrocapillus,2.1,Site/area management,"Effectively resource and manage existing and new protected areas, utilising emerging opportunities to finance protected area management with the joint aims of reducing carbon emissions and maximizing biodiversity conservation.",Vulnerable
92761019,22678194,Crypturellus kerriae,4.3,Awareness & communications,"<B>Raise awareness of the species and its status in an effort to reduce hunting pressure.
</P>",Vulnerable
92761019,22678194,Crypturellus kerriae,5.1.2,Legislation,"<B>Grant the species legal protection in Colombia and Panama. 
</P>",Vulnerable
92761019,22678194,Crypturellus kerriae,1.1,Site/area protection,"<B>Increase the area of suitable habitat that has protected status. 
</P>",Vulnerable
92770934,22678379,Penelope perspicax,3.4.1,Ex-situ conservation,"Collar and Butchart (2013) suggested that captive breeding should be considered.
",Endangered
92770934,22678379,Penelope perspicax,2.1,Site/area management,"<B>Develop and implement an action plan for the species and its habitat<SUP>1,5</SUP></B>.
</P>",Endangered
92770934,22678379,Penelope perspicax,4.3,Awareness & communications,"<B>Provide posters and resources for an educational programme about cracids, particularly aimed at limiting hunting<SUP>5</SUP></B>.

</P>",Endangered
92771975,22678392,Penelope pileata,4.3,Awareness & communications,"Organise campaigns to raise awareness and reduce hunting and trapping for trade
</P>",Vulnerable
92771975,22678392,Penelope pileata,5.1.2,Legislation,"Campaign against proposed changes to the Brazilian Forest Code that would lead to a decrease in the width of the areas of riverine forest protected as Permanent Preservation Areas (APPs), which function as vital corridors in fragmented landscapes.",Vulnerable
92771975,22678392,Penelope pileata,2.1,Site/area management,"Effectively resource and manage existing and new protected areas, utilising emerging opportunities to finance protected area management with the joint aims of reducing carbon emissions and maximizing biodiversity conservation.",Vulnerable
92771975,22678392,Penelope pileata,6.3,Market forces,Increase market pressures for sound land management and prevention of forest clearance on lands unsuitable for agriculture.,Vulnerable
92771975,22678392,Penelope pileata,1.1,Site/area protection,"Effectively protect Amaz&ocirc;nia (Tapaj&oacute;s) National Park and designate further protected areas within its lowland forest range.
</P>",Vulnerable
92772232,22678395,Penelope ochrogaster,2.1,Site/area management,"*Consider the development of sustainable forestry practices to supply materials for bridge repairs on the Transpantaneira road, and encourage sustainable forestry among cattle-farmers.

</P>",Vulnerable
92772232,22678395,Penelope ochrogaster,2.1,Site/area management,"*Protect populations in Pocon&eacute; from further habitat loss. 
</P>",Vulnerable
92772529,22678398,Penelope jacucaca,2.1,Site/area management,"Improve de facto protection of protected areas within its range.
</P>",Vulnerable
92772529,22678398,Penelope jacucaca,3.1.1,Species management,"Initiate local awareness campaigns to combat hunting in protected areas.
</P>",Vulnerable
92772529,22678398,Penelope jacucaca,3.2,Species recovery,"Develop and implement an action plan for the species and its habitat.
</P>",Vulnerable
92774326,22678449,Penelopina nigra,4.3,Awareness & communications,"Encourage local people to exploit sustainable alternative food sources.
</P>",Vulnerable
92774326,22678449,Penelopina nigra,1.1,Site/area protection,"Protect remaining forest habitat in existing reserves and by establishing new ones.
</P>",Vulnerable
92774326,22678449,Penelopina nigra,2.1,Site/area management,"Improve the management of protected areas<B><SUP>8</SUP></B>. 

</P>",Vulnerable
92774326,22678449,Penelopina nigra,2.3,Habitat & natural process restoration,"Promote habitat restoration both within and outside reserves across the species's range<B><SUP>8</SUP></B>.
</P>",Vulnerable
92774672,22678453,Oreophasis derbianus,1.1,Site/area protection,"Designate further areas at keys sites and ensure effective management<B><SUP>20</SUP></B>.
</P>",Endangered
92774672,22678453,Oreophasis derbianus,1.1,Site/area protection,"Create an international reserve at Volc&aacute;n Tacan&aacute;.
</P>",Endangered
92774672,22678453,Oreophasis derbianus,2.3,Habitat & natural process restoration,"In Guatemala, identify areas where reforestation with native species can be carried out<B><SUP>13</SUP></B>.
</P>",Endangered
92774672,22678453,Oreophasis derbianus,2.1,Site/area management,"Improve the managment of extisting protected areas across the species's range.
</P>",Endangered
92774672,22678453,Oreophasis derbianus,3.4.1,Ex-situ conservation,"Collar and Butchart (2013) suggested that captive breeding should be considered.
",Endangered
92774672,22678453,Oreophasis derbianus,5.4.2,Compliance and enforcement,"Enforce existing laws.


</P>",Endangered
92776062,22678497,Pauxi pauxi,2.1,Site/area management,"*Enforce existing laws on hunting and habitat protection<B><SUP>2</SUP></B>.
</P>",Endangered
92776062,22678497,Pauxi pauxi,3.4.1,Ex-situ conservation,"Captive breeding and reintroduction in Venezuela has been proposed (humboldt.org.co 2006; Matalobos 1991). 
",Endangered
92776062,22678497,Pauxi pauxi,4.3,Awareness & communications,"*Develop educational programmes to combat hunting<B><SUP>3</SUP></B>.

</P>",Endangered
92776062,22678497,Pauxi pauxi,3.1.1,Species management,"*Enforce existing laws on hunting and habitat protection<B><SUP>2</SUP></B>.
</P>",Endangered
92776389,22678521,Crax rubra,5.4.4,Compliance and enforcement,"Enforce hunting restrictions
</P>",Vulnerable
92776389,22678521,Crax rubra,4.3,Awareness & communications,"Introduce educational campaigns to reduce hunting pressure
</P>",Vulnerable
92777326,22678534,Crax alector,1.1,Site/area protection,Expand the protected area network to effectively protect IBAs.,Vulnerable
92777326,22678534,Crax alector,2.1,Site/area management,"Effectively resource and manage existing and new protected areas, utilising emerging opportunities to finance protected area management with the joint aims of reducing carbon emissions and maximizing biodiversity conservation.",Vulnerable
92777326,22678534,Crax alector,5.1.2,Legislation,"Campaign against proposed changes to the Brazilian Forest Code that would lead to a decrease in the width of the areas of riverine forest protected as Permanent Preservation Areas (APPs), which function as vital corridors in fragmented landscapes.",Vulnerable
92777326,22678534,Crax alector,6.3,Market forces,Increase market pressures for sound land management and prevention of forest clearance on lands unsuitable for agriculture.,Vulnerable
92777596,22678537,Crax globulosa,1.1,Site/area protection,"*Designate protected sites and promote ecotourism<B><SUP>3,6,12</SUP></B>.
</P>",Endangered
92777596,22678537,Crax globulosa,3.4.1,Ex-situ conservation,"Collar and Butchart (2013) suggested that captive breeding should be considered.
",Endangered
92777596,22678537,Crax globulosa,6.1,Linked enterprises & livelihood alternatives,"*Designate protected sites and promote ecotourism<B><SUP>3,6,12</SUP></B>.

</P>",Endangered
92777596,22678537,Crax globulosa,4.3,Awareness & communications,"*Organise education programmes to encourage further uptake of sustainable hunting practices<B><SUP>1,3,6</SUP></B>.

</P>",Endangered
92777952,22678544,Crax blumenbachii,3.4.1,Ex-situ conservation,Collar and Butchart (2013) suggested that captive breeding should be considered.,Endangered
92777952,22678544,Crax blumenbachii,2.1,Site/area management,"<B>Patrol reserves to prevent hunting and trapping. </B>
</P>",Endangered
92777952,22678544,Crax blumenbachii,3.3.1,Species re-introduction,"<B>Continue the reintroduction programme. 
</B>
</P>",Endangered
92777952,22678544,Crax blumenbachii,2.1,Site/area management,"<B>Ensure the <I>de facto</I></B> protection of all reserves with known populations, especially Monte Pascoal. 
</P>",Endangered
92778607,22678559,Aepypodius bruijnii,5.1.2,Legislation,"Declare the species' core locations as strictly no hunting areas. 
</P>",Endangered
92778607,22678559,Aepypodius bruijnii,1.2,Resource & habitat protection,"Convert Waigeo's 'paper parks' into a single integrated, properly demarcated, meaningful protected area with national park status and multiple-usage zonations demarcated following consultation with local communities. 
</P>",Endangered
92778607,22678559,Aepypodius bruijnii,4.3,Awareness & communications,"Set up an island-wide awareness campaign to prevent future wild fires. 
</P>",Endangered
92779438,22678576,Macrocephalon maleo,3.1.1,Species management,"Initiate maleo-based conservation activities in Paluki and Saluki, Central Sulawesi.
</P>",Endangered
92779438,22678576,Macrocephalon maleo,1.2,Resource & habitat protection,"Renew community-based protection initiatives. 
</P>",Endangered
92779438,22678576,Macrocephalon maleo,1.1,Site/area protection,"Extend protected area status to selected key nesting grounds and forest corridors connecting nesting grounds and non-breeding areas. 
</P>",Endangered
92779438,22678576,Macrocephalon maleo,4.3,Awareness & communications,"Conduct a Sulawesi-wide awareness-raising campaign to discourage Maleo egg consumption and use the species as a flagship for forest conservation.

</P>",Endangered
92779438,22678576,Macrocephalon maleo,4.2,Training,"Strengthen the capacity of conservation agencies and government to prevent illegal activities in formally protected areas and establish new management plans to realistically address conservation issues in National Parks and Nature Reserves.
</P>",Endangered
92779438,22678576,Macrocephalon maleo,2.3,Habitat & natural process restoration,"Reforestation between existing forest and nesting grounds
</P>",Endangered
92779438,22678576,Macrocephalon maleo,2.1,Site/area management,"Extend protected area status to selected key nesting grounds and forest corridors connecting nesting grounds and non-breeding areas. 
</P>",Endangered
92779438,22678576,Macrocephalon maleo,2.1,Site/area management,"Expand management activities in protected areas, particularly scrub clearance at nesting sites, control of invasive egg predators and minimise human disturbance.
</P>",Endangered
92779438,22678576,Macrocephalon maleo,2.1,Site/area management,"Initiate maleo-based conservation activities in Paluki and Saluki, Central Sulawesi.
</P>",Endangered
92779885,22678583,Megapodius nicobariensis,2.2,Invasive/problematic species control,"Eradicate and manage invasive species
</P>",Vulnerable
92779885,22678583,Megapodius nicobariensis,4.3,Awareness & communications,"Initiate a conservation awareness programme to reduce hunting.

</P>",Vulnerable
92779885,22678583,Megapodius nicobariensis,1.1,Site/area protection,"Include coastal forests free from human settlement into the existing Protected Areas networks and strictly implement the Indian Wildlife (Protection) Act, 1972.
</P>",Vulnerable
92779885,22678583,Megapodius nicobariensis,1.1,Site/area protection,"Continue to lobby for expansion of the existing protected areas system to encompass wider tracts of coastal forest on Great Nicobar, the Nancowry island group and Little Nicobar.
</P>",Vulnerable
92779885,22678583,Megapodius nicobariensis,3.1.1,Species management,"Initiate a conservation awareness programme to reduce hunting.

</P>",Vulnerable
92779885,22678583,Megapodius nicobariensis,5.4.2,Compliance and enforcement,"Include coastal forests free from human settlement into the existing Protected Areas networks and strictly implement the Indian Wildlife (Protection) Act, 1972.
</P>",Vulnerable
92779885,22678583,Megapodius nicobariensis,6.1,Linked enterprises & livelihood alternatives,"Empower indigenous people to follow alternative livelihood options such as fishing, handicrafts etc.
</P>",Vulnerable
92779885,22678583,Megapodius nicobariensis,2.3,Habitat & natural process restoration,Carry out habitat restoration work on the west coast of Great Nicobar (A. Rahmani <i>in litt</i>. 2012).,Vulnerable
92779885,22678583,Megapodius nicobariensis,5.4.3,Compliance and enforcement,"Following losses to the tsunami, restore the infrastructure of the state forest department (A. Rahmani <i>in litt</i>. 2012).",Vulnerable
