scientificName,PopulationSize.range
Alveopora japonica,NA
Montipora angulata,NA
Moseleya latistellata,NA
Catalaphyllia jardinei,NA
Montipora hodgsoni,NA
Alveopora marionensis,NA
Goniopora cellulosa,NA
Favia rosaria,NA
Acropora turaki,NA
Acropora rudis,NA
Echinopora ashmorensis,NA
Pectinia lactuca,NA
Montipora gaimardi,NA
Acropora willisae,NA
Montipora orientalis,NA
Acropora plumosa,NA
Montipora patula,NA
Stylophora madagascarensis,NA
Turbinaria bifrons,NA
Porites desilveri,NA
Fungia taiwanensis,NA
Halomitra clavator,NA
Agaricia lamarcki,NA
Acropora paniculata,NA
Anacropora matthai,NA
Plerogyra discus,NA
Montipora stilosa,NA
Acropora hemprichii,NA
Acropora derawanensis,NA
Acropora multiacuta,NA
Goniopora planulata,NA
Fungia seychellensis,NA
Montipora florida,NA
Acropora palmata,NA
Montipora malampaya,NA
Montipora meandrina,NA
Acropora kirstyae,NA
Pocillopora ankeli,NA
Montastraea franksi,NA
Goniopora polyformis,NA
Galaxea cryptoramosa,NA
Astreopora incrustans,NA
Alveopora daedalea,NA
Dichocoenia stokesii,NA
Lobophyllia flabelliformis,NA
Porites attenuata,NA
Fungia curvata,NA
Hydnophora bonsai,NA
Galaxea acrhelia,NA
Acropora caroliniana,NA
Montipora cactus,NA
Acropora retusa,NA
Porites sillimaniana,NA
Siderastrea glynni,NA
Porites cumulatus,NA
Dendrogyra cylindrus,NA
Symphyllia hassi,NA
Euphyllia paradivisa,NA
Montipora friabilis,NA
Platygyra yaeyamaensis,NA
Acropora abrolhosensis,NA
Montastraea annularis,NA
Astreopora cucullata,NA
Goniastrea deformis,NA
Stylocoeniella cocosensis,NA
Leptoseris yabei,NA
Porites aranetai,NA
Montastrea salebrosa,NA
Acropora russelli,NA
Oculina varicosa,NA
Montipora dilatata,NA
Euphyllia ancora,NA
Astreopora moretonensis,NA
Turbinaria patula,NA
Isopora brueggemanni,NA
Montipora calcarea,NA
