thr_lev2,thr_lev2name,stressName,nospp,stu,rike
1.1,Housing & urban areas,Ecosystem stresses,2640,Target 1 & 2,Target 1 & 2
1.1,Housing & urban areas,Indirect species effects,15,Target 1 & 2,Target 3
1.1,Housing & urban areas,Species disturbance,85,Target 1 & 2,Target 3
1.1,Housing & urban areas,Species mortality,100,Target 1 & 2,Target 3
1.2,Commercial & industrial areas,Ecosystem stresses,892,Target 1 & 2,Target 1 & 2
1.2,Commercial & industrial areas,Indirect species effects,6,Target 1 & 2,Target 3
1.2,Commercial & industrial areas,Species disturbance,30,Target 1 & 2,Target 3
1.2,Commercial & industrial areas,Species mortality,14,Target 1 & 2,Target 3
1.3,Tourism & recreation areas,Ecosystem stresses,991,Target 1 & 2,Target 1 & 2
1.3,Tourism & recreation areas,Indirect species effects,11,Target 1 & 2,Target 3
1.3,Tourism & recreation areas,Species disturbance,66,Target 1 & 2,Target 3
1.3,Tourism & recreation areas,Species mortality,29,Target 1 & 2,Target 3
2.1,Annual & perennial non-timber crops,Ecosystem stresses,5018,Target 1 & 2,Target 1 & 2
2.1,Annual & perennial non-timber crops,Indirect species effects,78,Target 1 & 2,Target 3
2.1,Annual & perennial non-timber crops,Species disturbance,194,Target 1 & 2,Target 3
2.1,Annual & perennial non-timber crops,Species mortality,223,Target 1 & 2,Target 3
2.2,Wood & pulp plantations,Ecosystem stresses,775,Target 1 & 2,Target 1 & 2
2.2,Wood & pulp plantations,Indirect species effects,14,Target 1 & 2,Target 3
2.2,Wood & pulp plantations,Species disturbance,39,Target 1 & 2,Target 3
2.2,Wood & pulp plantations,Species mortality,51,Target 1 & 2,Target 3
2.3,Livestock farming & ranching,Ecosystem stresses,2464,Target 1 & 2,Target 1 & 2
2.3,Livestock farming & ranching,Indirect species effects,58,Target 1 & 2,Target 3
2.3,Livestock farming & ranching,Species disturbance,104,Target 1 & 2,Target 3
2.3,Livestock farming & ranching,Species mortality,145,Target 1 & 2,Target 3
2.4,Marine & freshwater aquaculture,Ecosystem stresses,94,Target 1 & 2,Target 1 & 2
2.4,Marine & freshwater aquaculture,Indirect species effects,6,Target 1 & 2,Target 3
2.4,Marine & freshwater aquaculture,Species disturbance,7,Target 1 & 2,Target 3
2.4,Marine & freshwater aquaculture,Species mortality,14,Target 1 & 2,Target 3
3.1,Oil & gas drilling,Ecosystem stresses,86,Target 1 & 2,Target 1 & 2
3.1,Oil & gas drilling,Indirect species effects,4,Target 1 & 2,Target 3
3.1,Oil & gas drilling,Species disturbance,31,Target 1 & 2,Target 3
3.1,Oil & gas drilling,Species mortality,18,Target 1 & 2,Target 3
3.2,Mining & quarrying,Ecosystem stresses,987,Target 1 & 2,Target 1 & 2
3.2,Mining & quarrying,Indirect species effects,13,Target 1 & 2,Target 3
3.2,Mining & quarrying,Species disturbance,105,Target 1 & 2,Target 3
3.2,Mining & quarrying,Species mortality,86,Target 1 & 2,Target 3
3.3,Renewable energy,Ecosystem stresses,75,Target 1 & 2,Target 1 & 2
3.3,Renewable energy,Indirect species effects,2,Target 1 & 2,Target 3
3.3,Renewable energy,Species disturbance,18,Target 1 & 2,Target 3
3.3,Renewable energy,Species mortality,31,Target 1 & 2,Target 3
4.1,Roads & railroads,Ecosystem stresses,696,Target 1 & 2,Target 1 & 2
4.1,Roads & railroads,Indirect species effects,22,Target 1 & 2,Target 3
4.1,Roads & railroads,Species disturbance,86,Target 1 & 2,Target 3
4.1,Roads & railroads,Species mortality,161,Target 1 & 2,Target 3
4.2,Utility & service lines,Ecosystem stresses,60,Target 1 & 2,Target 1 & 2
4.2,Utility & service lines,Indirect species effects,3,Target 1 & 2,Target 3
