thr_lev2,thr_lev2name,stressName,target,person
1.1,Housing & urban areas,Indirect species effects,Target 1 & 2,stu
1.1,Housing & urban areas,Indirect species effects,Target 3,rike
1.1,Housing & urban areas,Species disturbance,Target 1 & 2,stu
1.1,Housing & urban areas,Species disturbance,Target 3,rike
1.1,Housing & urban areas,Species mortality,Target 1 & 2,stu
1.1,Housing & urban areas,Species mortality,Target 3,rike
1.2,Commercial & industrial areas,Indirect species effects,Target 1 & 2,stu
1.2,Commercial & industrial areas,Indirect species effects,Target 3,rike
1.2,Commercial & industrial areas,Species disturbance,Target 1 & 2,stu
1.2,Commercial & industrial areas,Species disturbance,Target 3,rike
1.2,Commercial & industrial areas,Species mortality,Target 1 & 2,stu
1.2,Commercial & industrial areas,Species mortality,Target 3,rike
1.3,Tourism & recreation areas,Indirect species effects,Target 1 & 2,stu
1.3,Tourism & recreation areas,Indirect species effects,Target 3,rike
1.3,Tourism & recreation areas,Species disturbance,Target 1 & 2,stu
1.3,Tourism & recreation areas,Species disturbance,Target 3,rike
1.3,Tourism & recreation areas,Species mortality,Target 1 & 2,stu
1.3,Tourism & recreation areas,Species mortality,Target 3,rike
2.1,Annual & perennial non-timber crops,Indirect species effects,Target 1 & 2,stu
2.1,Annual & perennial non-timber crops,Indirect species effects,Target 3,rike
2.1,Annual & perennial non-timber crops,Species disturbance,Target 1 & 2,stu
2.1,Annual & perennial non-timber crops,Species disturbance,Target 3,rike
2.1,Annual & perennial non-timber crops,Species mortality,Target 1 & 2,stu
2.1,Annual & perennial non-timber crops,Species mortality,Target 3,rike
2.2,Wood & pulp plantations,Indirect species effects,Target 1 & 2,stu
2.2,Wood & pulp plantations,Indirect species effects,Target 3,rike
2.2,Wood & pulp plantations,Species disturbance,Target 1 & 2,stu
2.2,Wood & pulp plantations,Species disturbance,Target 3,rike
2.2,Wood & pulp plantations,Species mortality,Target 1 & 2,stu
2.2,Wood & pulp plantations,Species mortality,Target 3,rike
2.3,Livestock farming & ranching,Indirect species effects,Target 1 & 2,stu
2.3,Livestock farming & ranching,Indirect species effects,Target 3,rike
2.3,Livestock farming & ranching,Species disturbance,Target 1 & 2,stu
2.3,Livestock farming & ranching,Species disturbance,Target 3,rike
2.3,Livestock farming & ranching,Species mortality,Target 1 & 2,stu
2.3,Livestock farming & ranching,Species mortality,Target 3,rike
2.4,Marine & freshwater aquaculture,Indirect species effects,Target 1 & 2,stu
2.4,Marine & freshwater aquaculture,Indirect species effects,Target 3,rike
2.4,Marine & freshwater aquaculture,Species disturbance,Target 1 & 2,stu
2.4,Marine & freshwater aquaculture,Species disturbance,Target 3,rike
2.4,Marine & freshwater aquaculture,Species mortality,Target 1 & 2,stu
2.4,Marine & freshwater aquaculture,Species mortality,Target 3,rike
3.1,Oil & gas drilling,Indirect species effects,Target 1 & 2,stu
3.1,Oil & gas drilling,Indirect species effects,Target 3,rike
3.1,Oil & gas drilling,Species disturbance,Target 1 & 2,stu
3.1,Oil & gas drilling,Species disturbance,Target 3,rike
3.1,Oil & gas drilling,Species mortality,Target 1 & 2,stu
3.1,Oil & gas drilling,Species mortality,Target 3,rike
3.2,Mining & quarrying,Indirect species effects,Target 1 & 2,stu
3.2,Mining & quarrying,Indirect species effects,Target 3,rike
3.2,Mining & quarrying,Species disturbance,Target 1 & 2,stu
3.2,Mining & quarrying,Species disturbance,Target 3,rike
3.2,Mining & quarrying,Species mortality,Target 1 & 2,stu
3.2,Mining & quarrying,Species mortality,Target 3,rike
3.3,Renewable energy,Indirect species effects,Target 1 & 2,stu
3.3,Renewable energy,Indirect species effects,Target 3,rike
3.3,Renewable energy,Species disturbance,Target 1 & 2,stu
3.3,Renewable energy,Species disturbance,Target 3,rike
3.3,Renewable energy,Species mortality,Target 1 & 2,stu
3.3,Renewable energy,Species mortality,Target 3,rike
4.1,Roads & railroads,Indirect species effects,Target 1 & 2,stu
4.1,Roads & railroads,Indirect species effects,Target 3,rike
4.1,Roads & railroads,Species disturbance,Target 1 & 2,stu
