Threat code,Threat name,Stress name,Number of spp affected,Final
1.1,Housing & urban areas,Indirect species effects,15,"Target 1 & 2, Target 3"
1.1,Housing & urban areas,Species disturbance,85,"Target 1 & 2, Target 3"
1.1,Housing & urban areas,Species mortality,100,"Target 1 & 2, Target 3"
1.2,Commercial & industrial areas,Indirect species effects,6,"Target 1 & 2, Target 3"
1.2,Commercial & industrial areas,Species disturbance,30,"Target 1 & 2, Target 3"
1.2,Commercial & industrial areas,Species mortality,14,"Target 1 & 2, Target 3"
1.3,Tourism & recreation areas,Indirect species effects,11,"Target 1 & 2, Target 3"
1.3,Tourism & recreation areas,Species disturbance,66,"Target 1 & 2, Target 3"
1.3,Tourism & recreation areas,Species mortality,29,"Target 1 & 2, Target 3"
2.1,Annual & perennial non-timber crops,Indirect species effects,78,"Target 1 & 2, Target 3"
2.1,Annual & perennial non-timber crops,Species disturbance,194,"Target 1 & 2, Target 3"
2.1,Annual & perennial non-timber crops,Species mortality,223,"Target 1 & 2, Target 3"
2.2,Wood & pulp plantations,Indirect species effects,14,"Target 1 & 2, Target 3"
2.2,Wood & pulp plantations,Species disturbance,39,"Target 1 & 2, Target 3"
2.2,Wood & pulp plantations,Species mortality,51,"Target 1 & 2, Target 3"
2.3,Livestock farming & ranching,Indirect species effects,58,"Target 1 & 2, Target 3"
2.3,Livestock farming & ranching,Species disturbance,104,"Target 1 & 2, Target 3"
2.3,Livestock farming & ranching,Species mortality,145,"Target 1 & 2, Target 3"
2.4,Marine & freshwater aquaculture,Indirect species effects,6,"Target 1 & 2, Target 3"
2.4,Marine & freshwater aquaculture,Species disturbance,7,"Target 1 & 2, Target 3"
2.4,Marine & freshwater aquaculture,Species mortality,14,"Target 1 & 2, Target 3"
3.1,Oil & gas drilling,Indirect species effects,4,"Target 1 & 2, Target 3"
3.1,Oil & gas drilling,Species disturbance,31,"Target 1 & 2, Target 3"
3.1,Oil & gas drilling,Species mortality,18,"Target 1 & 2, Target 3"
3.2,Mining & quarrying,Indirect species effects,13,"Target 1 & 2, Target 3"
3.2,Mining & quarrying,Species disturbance,105,"Target 1 & 2, Target 3"
3.2,Mining & quarrying,Species mortality,86,"Target 1 & 2, Target 3"
3.3,Renewable energy,Indirect species effects,2,"Target 1 & 2, Target 3"
3.3,Renewable energy,Species disturbance,18,"Target 1 & 2, Target 3"
3.3,Renewable energy,Species mortality,31,"Target 1 & 2, Target 3"
4.1,Roads & railroads,Indirect species effects,22,"Target 1 & 2, Target 3"
4.1,Roads & railroads,Species disturbance,86,"Target 1 & 2, Target 3"
4.1,Roads & railroads,Species mortality,161,"Target 1 & 2, Target 3"
4.2,Utility & service lines,Indirect species effects,3,"Target 1 & 2, Target 3"
4.2,Utility & service lines,Species disturbance,4,"Target 1 & 2, Target 3"
4.2,Utility & service lines,Species mortality,51,"Target 1 & 2, Target 3"
4.3,Shipping lanes,Indirect species effects,2,Target 1 & 2
4.3,Shipping lanes,Species disturbance,30,Target 1 & 2
4.3,Shipping lanes,Species mortality,37,Target 1 & 2
4.4,Flight paths,Species disturbance,3,Target 1 & 2
4.4,Flight paths,Species mortality,2,Target 1 & 2
5.1,Hunting & collecting terrestrial animals,Indirect species effects,161,"Target 1 & 2, Target 4"
5.1,Hunting & collecting terrestrial animals,Species disturbance,108,"Target 1 & 2, Target 4"
5.1,Hunting & collecting terrestrial animals,Species mortality,1727,"Target 1 & 2, Target 4"
5.2,Gathering terrestrial plants,Indirect species effects,49,"Target 1 & 2, Target 4"
5.2,Gathering terrestrial plants,Species disturbance,67,"Target 1 & 2, Target 4"
5.2,Gathering terrestrial plants,Species mortality,367,"Target 1 & 2, Target 4"
5.3,Logging & wood harvesting,Indirect species effects,79,"Target 1 & 2, Target 4"
