assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
84694321,22679393,Polyplectron schleiermacheri,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Polyplectron,schleiermacheri,NA,NA,NA,"BrÃ¼ggemann, 1877",Endangered,C2a(i),3.1,Decreasing,Global
89641304,22720960,Emberiza rustica,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,EMBERIZIDAE,Emberiza,rustica,NA,NA,NA,"Pallas, 1776",Vulnerable,A2abcd+3bcd+4abcd,3.1,Decreasing,Global
90341807,22728245,Chlamydotis undulata,ANIMALIA,CHORDATA,OTIDIFORMES,AVES,OTIDIDAE,Chlamydotis,undulata,NA,NA,NA,"(Jacquin, 1784)",Vulnerable,A2cd+3cd+4cd,3.1,Decreasing,Global
90563705,22720676,Pyrrhula murina,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Pyrrhula,murina,NA,NA,NA,"Godman, 1866",Vulnerable,D1+2,3.1,Stable,Global
92756666,22678132,Apteryx haastii,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,APTERYGIDAE,Apteryx,haastii,NA,NA,NA,"Potts, 1872",Vulnerable,A2e,3.1,Decreasing,Global
92758851,22678160,Nothocercus nigrocapillus,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,TINAMIDAE,Nothocercus,nigrocapillus,NA,NA,NA,"(G. R. Gray, 1867)",Vulnerable,A3c,3.1,Decreasing,Global
92761019,22678194,Crypturellus kerriae,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,TINAMIDAE,Crypturellus,kerriae,NA,NA,NA,"(Chapman, 1915)",Vulnerable,"B1ab(i,ii,iii,v);C2a(i)",3.1,Decreasing,Global
92770934,22678379,Penelope perspicax,ANIMALIA,CHORDATA,GALLIFORMES,AVES,CRACIDAE,Penelope,perspicax,NA,NA,NA,"Bangs, 1911",Endangered,"B1ab(i,ii,iii,v)",3.1,Decreasing,Global
92771975,22678392,Penelope pileata,ANIMALIA,CHORDATA,GALLIFORMES,AVES,CRACIDAE,Penelope,pileata,NA,NA,NA,"Wagler, 1830",Vulnerable,A3c,3.1,Decreasing,Global
92772232,22678395,Penelope ochrogaster,ANIMALIA,CHORDATA,GALLIFORMES,AVES,CRACIDAE,Penelope,ochrogaster,NA,NA,NA,"Pelzeln, 1870",Vulnerable,"B1ab(i,ii,iii,iv,v);C2a(i);D1",3.1,Decreasing,Global
92772529,22678398,Penelope jacucaca,ANIMALIA,CHORDATA,GALLIFORMES,AVES,CRACIDAE,Penelope,jacucaca,NA,NA,NA,"Spix, 1825",Vulnerable,A2cd+3cd+4cd,3.1,Decreasing,Global
92774326,22678449,Penelopina nigra,ANIMALIA,CHORDATA,GALLIFORMES,AVES,CRACIDAE,Penelopina,nigra,NA,NA,NA,"(Fraser, 1852)",Vulnerable,A2cd+3cd+4cd,3.1,Decreasing,Global
92774672,22678453,Oreophasis derbianus,ANIMALIA,CHORDATA,GALLIFORMES,AVES,CRACIDAE,Oreophasis,derbianus,NA,NA,NA,"Gray, 1844",Endangered,C2a(i),3.1,Decreasing,Global
92776062,22678497,Pauxi pauxi,ANIMALIA,CHORDATA,GALLIFORMES,AVES,CRACIDAE,Pauxi,pauxi,NA,NA,NA,"(Linnaeus, 1766)",Endangered,C2a(i),3.1,Decreasing,Global
92776389,22678521,Crax rubra,ANIMALIA,CHORDATA,GALLIFORMES,AVES,CRACIDAE,Crax,rubra,NA,NA,NA,"Linnaeus, 1758",Vulnerable,A2cd+3cd+4cd,3.1,Decreasing,Global
92777326,22678534,Crax alector,ANIMALIA,CHORDATA,GALLIFORMES,AVES,CRACIDAE,Crax,alector,NA,NA,NA,"Linnaeus, 1766",Vulnerable,A3c,3.1,Decreasing,Global
92777596,22678537,Crax globulosa,ANIMALIA,CHORDATA,GALLIFORMES,AVES,CRACIDAE,Crax,globulosa,NA,NA,NA,"Spix, 1825",Endangered,A2d+3d+4d;C2a(i),3.1,Decreasing,Global
92777952,22678544,Crax blumenbachii,ANIMALIA,CHORDATA,GALLIFORMES,AVES,CRACIDAE,Crax,blumenbachii,NA,NA,NA,"Spix, 1825",Endangered,"B1ab(i,ii,iii,v);C2a(i);D",3.1,Decreasing,Global
