scientificName
Polyplectron schleiermacheri
Pyrrhula murina
Penelope perspicax
Penelope ochrogaster
Oreophasis derbianus
Pauxi pauxi
Crax globulosa
Crax blumenbachii
Aepypodius bruijnii
Megapodius nicobariensis
Megapodius layardi
Pternistis camerunensis
Pternistis swierstrai
Arborophila mandellii
Arborophila rufipectus
Tragopan caboti
Lophophorus sclateri
Lophophorus lhuysii
Crossoptilon mantchuricum
Afropavo congensis
Hymenolaimus malacorhynchos
Anas bernieri
Anas aucklandica
Turnix olivii
Colaptes fernandinae
Campephilus imperialis
Capito hypoleucus
Galbula pastazae
Penelopides mindorensis
Apalharpactes reinwardtii
Electron carinatum
Todiramphus ruficollaris
Actenoides hombroni
Tanysiptera ellioti
Phaenicophaeus pyrrhocephalus
Centropus nigrorufus
Coccyzus ferrugineus
Neomorphus radiolosus
Lorius domicella
Vini stepheni
Charmosyna palmarum
Ara ambiguus
Psittacara euops
Ognorhynchus icterotis
Forpus xanthops
Touit melanonotus
Touit stictopterus
Hapalopsittaca amazonina
Amazona versicolor
Amazona arausiaca
Amazona guildingii
Aerodramus sawtelli
Glaucis dohrnii
Amazilia luciae
Aglaeactis aliciae
Eriocnemis nigrivestis
Eriocnemis godini
Metallura baroni
Taphrolesbia griseiventris
Loddigesia mirabilis
Chaetocercus bombus
Chaetocercus berlepschi
Selasphorus ardens
Tyto inexspectata
Otus insularis
Bubo blakistoni
Scotopelia ussheri
Glaucidium albertinum
Ninox natalis
Nesasio solomonensis
Siphonorhis americana
Antrostomus noctitherus
Zentrygon carrikeri
Starnoenas cyanocephala
Gallicolumba crinigera
Gallicolumba menagei
Alopecoenas kubaryi
Alopecoenas stairi
Phapitreron cinereiceps
Treron floris
Treron psittaceus
Ptilinopus rarotongensis
Ptilinopus chalcurus
Ptilinopus arcanus
Ducula mindorensis
Ducula galeata
Ducula brenchleyi
Ducula bakeri
Heliopais personatus
Sarothrura watersi
Laterallus tuerosi
Laterallus xenopterus
Gallirallus lafresnayanus
Hypotaenidia sylvestris
Hypotaenidia okinawae
Rallus wetmorei
Rallus semiplumbeus
Rallus antarcticus
Rallus madagascariensis
Aramidopsis plateni
Aramides wolfi
Zapornia olivieri
Porzana spiloptera
Habroptila wallacii
Porphyrio hochstetteri
Tringa guttifer
Charadrius thoracicus
Charadrius sanctaehelenae
Thinornis novaeseelandiae
Haliaeetus sanfordi
Eutriorchis astur
Circus macrosceles
Accipiter imitator
Buteogallus lacernulatus
Pseudastur occidentalis
Buteogallus coronatus
Buteo galapagoensis
Buteo ventralis
Spizaetus isidori
Falco punctatus
Falco araeus
Falco hypoleucos
Falco fasciinucha
Egretta eulophotes
Ardea humbloti
Gorsachius goisagi
Botaurus poiciloptilus
Leptoptilos dubius
Hydrornis schneideri
Pitta superba
Erythropitta venusta
Pitta anerythra
Elaenia ridleyana
