scientificName,redlistCategory,actions,other_threats,smallpop
Polyplectron schleiermacheri,Endangered,yes,yes,yes
Emberiza rustica,Vulnerable,NA,NA,NA
Chlamydotis undulata,Vulnerable,NA,yes,NA
Pyrrhula murina,Vulnerable,NA,NA,NA
Apteryx haastii,Vulnerable,yes,NA,NA
Nothocercus nigrocapillus,Vulnerable,NA,NA,NA
Crypturellus kerriae,Vulnerable,NA,NA,yes
Penelope perspicax,Endangered,yes,NA,NA
Penelope pileata,Vulnerable,NA,NA,NA
Penelope ochrogaster,Vulnerable,NA,NA,yes
Penelope jacucaca,Vulnerable,yes,NA,NA
Penelopina nigra,Vulnerable,NA,NA,NA
Oreophasis derbianus,Endangered,yes,NA,yes
Pauxi pauxi,Endangered,yes,NA,yes
Crax rubra,Vulnerable,NA,NA,NA
Crax alector,Vulnerable,NA,NA,NA
Crax globulosa,Endangered,yes,NA,yes
Crax blumenbachii,Endangered,yes,NA,yes
Aepypodius bruijnii,Endangered,NA,NA,NA
Macrocephalon maleo,Endangered,NA,yes,NA
Megapodius nicobariensis,Vulnerable,NA,NA,yes
Megapodius bernsteinii,Vulnerable,NA,NA,NA
Megapodius layardi,Vulnerable,NA,NA,yes
Megapodius laperouse,Endangered,NA,yes,NA
Eulipoa wallacei,Vulnerable,NA,yes,NA
Leipoa ocellata,Vulnerable,NA,yes,NA
Francolinus gularis,Vulnerable,yes,NA,NA
Pternistis camerunensis,Endangered,NA,yes,NA
Pternistis swierstrai,Endangered,NA,NA,yes
Xenoperdix udzungwensis,Endangered,NA,yes,NA
Melanoperdix niger,Vulnerable,NA,NA,NA
Arborophila mandellii,Vulnerable,NA,NA,yes
Arborophila rufipectus,Endangered,NA,yes,yes
Arborophila ardens,Vulnerable,NA,NA,yes
Tragopan caboti,Vulnerable,yes,yes,yes
Lophophorus sclateri,Vulnerable,yes,NA,yes
Lophophorus lhuysii,Vulnerable,yes,NA,yes
Lophura bulweri,Vulnerable,yes,yes,yes
Crossoptilon mantchuricum,Vulnerable,yes,yes,yes
Polyplectron inopinatum,Vulnerable,yes,NA,yes
Polyplectron malacense,Vulnerable,yes,NA,NA
Afropavo congensis,Vulnerable,yes,yes,yes
Tympanuchus cupido,Vulnerable,yes,NA,NA
Agelastes meleagrides,Vulnerable,NA,yes,NA
Dendrortyx barbatus,Vulnerable,NA,NA,yes
Odontophorus atrifrons,Vulnerable,NA,NA,NA
Odontophorus melanonotus,Vulnerable,NA,NA,NA
Odontophorus dialeucos,Vulnerable,NA,NA,NA
Cyrtonyx ocellatus,Vulnerable,NA,yes,NA
Anser cygnoid,Vulnerable,NA,yes,NA
Cyanochen cyanoptera,Vulnerable,NA,yes,NA
Hymenolaimus malacorhynchos,Endangered,yes,yes,yes
Salvadorina waigiuensis,Vulnerable,NA,NA,NA
Anas luzonica,Vulnerable,NA,NA,NA
Anas melleri,Endangered,NA,yes,NA
Anas bernieri,Endangered,NA,yes,NA
Anas aucklandica,Vulnerable,yes,NA,yes
Anas eatoni,Vulnerable,NA,NA,NA
Turnix olivii,Endangered,yes,NA,yes
Picumnus spilogaster,Vulnerable,NA,NA,NA
Picumnus steindachneri,Endangered,NA,NA,NA
Picumnus varzeae,Endangered,NA,NA,NA
Colaptes fernandinae,Vulnerable,yes,yes,yes
Celeus galeatus,Vulnerable,NA,yes,yes
Campephilus imperialis,Critically Endangered,NA,NA,yes
Mulleripicus pulverulentus,Vulnerable,NA,NA,NA
Lybius chaplini,Vulnerable,NA,yes,NA
Capito hypoleucus,Vulnerable,NA,NA,yes
Capito dayi,Vulnerable,NA,NA,NA
Capito quinticolor,Vulnerable,NA,NA,NA
Ramphastos tucanus,Vulnerable,NA,NA,NA
