thr_lev2,thr_lev2name,stressName,target
1.1,Housing & urban areas,Indirect species effects,NA
1.1,Housing & urban areas,Species disturbance,NA
1.1,Housing & urban areas,Species mortality,NA
1.2,Commercial & industrial areas,Indirect species effects,NA
1.2,Commercial & industrial areas,Species disturbance,NA
1.2,Commercial & industrial areas,Species mortality,NA
1.3,Tourism & recreation areas,Indirect species effects,NA
1.3,Tourism & recreation areas,Species disturbance,NA
1.3,Tourism & recreation areas,Species mortality,NA
2.1,Annual & perennial non-timber crops,Indirect species effects,NA
2.1,Annual & perennial non-timber crops,Species disturbance,NA
2.1,Annual & perennial non-timber crops,Species mortality,NA
2.2,Wood & pulp plantations,Indirect species effects,NA
2.2,Wood & pulp plantations,Species disturbance,NA
2.2,Wood & pulp plantations,Species mortality,NA
2.3,Livestock farming & ranching,Indirect species effects,NA
2.3,Livestock farming & ranching,Species disturbance,NA
2.3,Livestock farming & ranching,Species mortality,NA
2.4,Marine & freshwater aquaculture,Indirect species effects,NA
2.4,Marine & freshwater aquaculture,Species disturbance,NA
2.4,Marine & freshwater aquaculture,Species mortality,NA
3.1,Oil & gas drilling,Indirect species effects,NA
3.1,Oil & gas drilling,Species disturbance,NA
3.1,Oil & gas drilling,Species mortality,NA
3.2,Mining & quarrying,Indirect species effects,NA
3.2,Mining & quarrying,Species disturbance,NA
3.2,Mining & quarrying,Species mortality,NA
3.3,Renewable energy,Indirect species effects,NA
3.3,Renewable energy,Species disturbance,NA
3.3,Renewable energy,Species mortality,NA
4.1,Roads & railroads,Indirect species effects,NA
4.1,Roads & railroads,Species disturbance,NA
4.1,Roads & railroads,Species mortality,NA
4.2,Utility & service lines,Indirect species effects,NA
4.2,Utility & service lines,Species disturbance,NA
4.2,Utility & service lines,Species mortality,NA
4.3,Shipping lanes,Indirect species effects,NA
4.3,Shipping lanes,Species disturbance,NA
4.3,Shipping lanes,Species mortality,NA
4.4,Flight paths,Species disturbance,NA
4.4,Flight paths,Species mortality,NA
6.1,Recreational activities,Indirect species effects,NA
6.1,Recreational activities,Species disturbance,NA
6.1,Recreational activities,Species mortality,NA
6.2,"War, civil unrest & military exercises",Indirect species effects,NA
6.2,"War, civil unrest & military exercises",Species disturbance,NA
6.2,"War, civil unrest & military exercises",Species mortality,NA
6.3,Work & other activities,Indirect species effects,NA
