thr_lev2,thr_lev2name,stressName,target
9.3,Agricultural & forestry effluents,Ecosystem stresses,Target 1 & 2
9.3,Agricultural & forestry effluents,Ecosystem stresses,Target 6
9.3,Agricultural & forestry effluents,Indirect species effects,Target 1 & 2
9.3,Agricultural & forestry effluents,Indirect species effects,Target 6
9.3,Agricultural & forestry effluents,Species disturbance,Target 1 & 2
9.3,Agricultural & forestry effluents,Species disturbance,Target 6
9.3,Agricultural & forestry effluents,Species mortality,Target 1 & 2
9.3,Agricultural & forestry effluents,Species mortality,Target 6
9.5,Air-borne pollutants,Ecosystem stresses,Target 1 & 2
9.5,Air-borne pollutants,Ecosystem stresses,Target 6
9.5,Air-borne pollutants,Indirect species effects,Target 1 & 2
9.5,Air-borne pollutants,Indirect species effects,Target 6
9.5,Air-borne pollutants,Species mortality,Target 1 & 2
9.5,Air-borne pollutants,Species mortality,Target 6
9.5,Air-borne pollutants,Species disturbance,Target 1 & 2
9.5,Air-borne pollutants,Species disturbance,Target 6
2.1,Annual & perennial non-timber crops,Ecosystem stresses,Target 1 & 2
2.1,Annual & perennial non-timber crops,Indirect species effects,Target 1 & 2
2.1,Annual & perennial non-timber crops,Indirect species effects,Target 3
2.1,Annual & perennial non-timber crops,Species disturbance,Target 1 & 2
2.1,Annual & perennial non-timber crops,Species disturbance,Target 3
2.1,Annual & perennial non-timber crops,Species mortality,Target 1 & 2
2.1,Annual & perennial non-timber crops,Species mortality,Target 3
10.3,Avalanches/landslides,Ecosystem stresses,NA
10.3,Avalanches/landslides,Indirect species effects,NA
10.3,Avalanches/landslides,Species disturbance,NA
10.3,Avalanches/landslides,Species mortality,NA
1.2,Commercial & industrial areas,Ecosystem stresses,Target 1 & 2
1.2,Commercial & industrial areas,Indirect species effects,Target 1 & 2
1.2,Commercial & industrial areas,Indirect species effects,Target 3
1.2,Commercial & industrial areas,Species disturbance,Target 1 & 2
1.2,Commercial & industrial areas,Species disturbance,Target 3
1.2,Commercial & industrial areas,Species mortality,Target 1 & 2
1.2,Commercial & industrial areas,Species mortality,Target 3
7.2,Dams & water management/use,Ecosystem stresses,Target 1 & 2
7.2,Dams & water management/use,Indirect species effects,Target 1 & 2
7.2,Dams & water management/use,Indirect species effects,Target 3
7.2,Dams & water management/use,Species disturbance,Target 1 & 2
7.2,Dams & water management/use,Species disturbance,Target 3
7.2,Dams & water management/use,Species mortality,Target 1 & 2
7.2,Dams & water management/use,Species mortality,Target 3
8.6,Diseases of unknown cause,Indirect species effects,Target 3
8.6,Diseases of unknown cause,Species mortality,Target 3
8.6,Diseases of unknown cause,Ecosystem stresses,Target 1 & 2
8.6,Diseases of unknown cause,Ecosystem stresses,Target 3
9.1,Domestic & urban waste water,Ecosystem stresses,Target 1 & 2
9.1,Domestic & urban waste water,Ecosystem stresses,Target 6
9.1,Domestic & urban waste water,Indirect species effects,Target 1 & 2
9.1,Domestic & urban waste water,Indirect species effects,Target 6
9.1,Domestic & urban waste water,Species disturbance,Target 1 & 2
9.1,Domestic & urban waste water,Species disturbance,Target 6
9.1,Domestic & urban waste water,Species mortality,Target 1 & 2
9.1,Domestic & urban waste water,Species mortality,Target 6
11.2,Droughts,Ecosystem stresses,Target 7
11.2,Droughts,Indirect species effects,Target 7
11.2,Droughts,Species disturbance,Target 7
11.2,Droughts,Species mortality,Target 7
10.2,Earthquakes/tsunamis,Ecosystem stresses,NA
10.2,Earthquakes/tsunamis,Species mortality,NA
9.6,Excess energy,Ecosystem stresses,Target 1 & 2
9.6,Excess energy,Ecosystem stresses,Target 6
9.6,Excess energy,Indirect species effects,Target 1 & 2
9.6,Excess energy,Indirect species effects,Target 6
9.6,Excess energy,Species disturbance,Target 1 & 2
9.6,Excess energy,Species disturbance,Target 6
9.6,Excess energy,Species mortality,Target 1 & 2
9.6,Excess energy,Species mortality,Target 6
7.1,Fire & fire suppression,Ecosystem stresses,Target 1 & 2
7.1,Fire & fire suppression,Indirect species effects,Target 1 & 2
7.1,Fire & fire suppression,Indirect species effects,Target 3
7.1,Fire & fire suppression,Species disturbance,Target 1 & 2
7.1,Fire & fire suppression,Species disturbance,Target 3
7.1,Fire & fire suppression,Species mortality,Target 1 & 2
7.1,Fire & fire suppression,Species mortality,Target 3
5.4,Fishing & harvesting aquatic resources,Ecosystem stresses,Target 1 & 2
5.4,Fishing & harvesting aquatic resources,Ecosystem stresses,Target 4
5.4,Fishing & harvesting aquatic resources,Indirect species effects,Target 1 & 2
5.4,Fishing & harvesting aquatic resources,Indirect species effects,Target 4
5.4,Fishing & harvesting aquatic resources,Species disturbance,Target 1 & 2
5.4,Fishing & harvesting aquatic resources,Species disturbance,Target 4
5.4,Fishing & harvesting aquatic resources,Species mortality,Target 1 & 2
5.4,Fishing & harvesting aquatic resources,Species mortality,Target 4
4.4,Flight paths,Ecosystem stresses,Target 1 & 2
4.4,Flight paths,Species disturbance,Target 1 & 2
4.4,Flight paths,Species mortality,Target 1 & 2
9.4,Garbage & solid waste,Ecosystem stresses,Target 1 & 2
9.4,Garbage & solid waste,Ecosystem stresses,Target 6
9.4,Garbage & solid waste,Indirect species effects,Target 1 & 2
9.4,Garbage & solid waste,Indirect species effects,Target 6
9.4,Garbage & solid waste,Species disturbance,Target 1 & 2
9.4,Garbage & solid waste,Species disturbance,Target 6
9.4,Garbage & solid waste,Species mortality,Target 1 & 2
9.4,Garbage & solid waste,Species mortality,Target 6
5.2,Gathering terrestrial plants,Ecosystem stresses,Target 1 & 2
5.2,Gathering terrestrial plants,Ecosystem stresses,Target 4
5.2,Gathering terrestrial plants,Indirect species effects,Target 1 & 2
5.2,Gathering terrestrial plants,Indirect species effects,Target 4
