thr_lev1,thr_lev1name,thr_lev2,thr_lev2name
1,Residential & commercial development,1.1,Housing & urban areas
1,Residential & commercial development,1.2,Commercial & industrial areas
1,Residential & commercial development,1.3,Tourism & recreation areas
2,Agriculture & aquaculture,2.1,Annual & perennial non-timber crops
2,Agriculture & aquaculture,2.2,Wood & pulp plantations
2,Agriculture & aquaculture,2.3,Livestock farming & ranching
2,Agriculture & aquaculture,2.4,Marine & freshwater aquaculture
3,Energy production & mining,3.1,Oil & gas drilling
3,Energy production & mining,3.2,Mining & quarrying
3,Energy production & mining,3.3,Renewable energy
4,Transportation & service corridors,4.1,Roads & railroads
4,Transportation & service corridors,4.2,Utility & service lines
4,Transportation & service corridors,4.3,Shipping lanes
4,Transportation & service corridors,4.4,Flight paths
5,Biological resource use,5.1,Hunting & collecting terrestrial animals
5,Biological resource use,5.2,Gathering terrestrial plants
5,Biological resource use,5.3,Logging & wood harvesting
5,Biological resource use,5.4,Fishing & harvesting aquatic resources
6,Human intrusions & disturbance,6.1,Recreational activities
6,Human intrusions & disturbance,6.2,"War, civil unrest & military exercises"
6,Human intrusions & disturbance,6.3,Work & other activities
7,Natural system modifications,7.1,Fire & fire suppression
7,Natural system modifications,7.2,Dams & water management/use
7,Natural system modifications,7.3,Other ecosystem modifications
8,"Invasive & other problematic species, genes & diseases",8.1,Invasive non-native/alien species/diseases
8,"Invasive & other problematic species, genes & diseases",8.2,Problematic native species/diseases
8,"Invasive & other problematic species, genes & diseases",8.3,Introduced genetic material
8,"Invasive & other problematic species, genes & diseases",8.4,Problematic species/diseases of unknown origin
8,"Invasive & other problematic species, genes & diseases",8.5,Viral/prion-induced diseases
8,"Invasive & other problematic species, genes & diseases",8.6,Diseases of unknown cause
9,Pollution,9.1,Domestic & urban waste water
9,Pollution,9.2,Industrial & military effluents
9,Pollution,9.3 ,Agricultural & forestry effluents
9,Pollution,9.4 ,Garbage & solid waste
9,Pollution,9.5 ,Air-borne pollutants
9,Pollution,9.6 ,Excess energy
10,Geological events,10.1,Volcanoes
10,Geological events,10.2,Earthquakes/tsunamis
10,Geological events,10.3,Avalanches/landslides
11,Climate change & severe weather,11.1,Habitat shifting & alteration
11,Climate change & severe weather,11.2,Droughts
11,Climate change & severe weather,11.3,Temperature extremes
11,Climate change & severe weather,11.4,Storms & flooding
11,Climate change & severe weather,11.5,Other impacts
12,Other,12.1,Other threat
