scientificName,thr_lev2,stressName,thr_lev1,thr_lev1name,thr_lev2name
Alveopora japonica,9.5,Ecosystem stresses,9,Pollution,Air-borne pollutants
Alveopora japonica,11.3,Ecosystem stresses,11,Climate change & severe weather,Temperature extremes
Alveopora japonica,11.3,Species mortality,11,Climate change & severe weather,Temperature extremes
Alveopora japonica,11.3,Species disturbance,11,Climate change & severe weather,Temperature extremes
Alveopora japonica,11.3,Indirect species effects,11,Climate change & severe weather,Temperature extremes
Alveopora japonica,11.4,Ecosystem stresses,11,Climate change & severe weather,Storms & flooding
Alveopora japonica,9.3,Ecosystem stresses,9,Pollution,Agricultural & forestry effluents
Alveopora japonica,1.2,Ecosystem stresses,1,Residential & commercial development,Commercial & industrial areas
Alveopora japonica,6.1,Species disturbance,6,Human intrusions & disturbance,Recreational activities
Alveopora japonica,5.4,Ecosystem stresses,5,Biological resource use,Fishing & harvesting aquatic resources
Alveopora japonica,9.2,Ecosystem stresses,9,Pollution,Industrial & military effluents
Alveopora japonica,8.1,Species mortality,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Alveopora japonica,8.1,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Alveopora japonica,8.1,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Alveopora japonica,9.1,Ecosystem stresses,9,Pollution,Domestic & urban waste water
Alveopora japonica,1.1,Ecosystem stresses,1,Residential & commercial development,Housing & urban areas
Alveopora japonica,1.3,Ecosystem stresses,1,Residential & commercial development,Tourism & recreation areas
Alveopora japonica,4.3,Ecosystem stresses,4,Transportation & service corridors,Shipping lanes
Alveopora japonica,5.4,Species mortality,5,Biological resource use,Fishing & harvesting aquatic resources
Alveopora japonica,8.2,Species mortality,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Alveopora japonica,8.2,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Alveopora japonica,8.2,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Montipora angulata,9.5,Ecosystem stresses,9,Pollution,Air-borne pollutants
Montipora angulata,11.3,Ecosystem stresses,11,Climate change & severe weather,Temperature extremes
Montipora angulata,11.3,Species mortality,11,Climate change & severe weather,Temperature extremes
Montipora angulata,11.3,Species disturbance,11,Climate change & severe weather,Temperature extremes
Montipora angulata,11.3,Indirect species effects,11,Climate change & severe weather,Temperature extremes
Montipora angulata,11.4,Ecosystem stresses,11,Climate change & severe weather,Storms & flooding
Montipora angulata,9.3,Ecosystem stresses,9,Pollution,Agricultural & forestry effluents
Montipora angulata,1.2,Ecosystem stresses,1,Residential & commercial development,Commercial & industrial areas
Montipora angulata,6.1,Species disturbance,6,Human intrusions & disturbance,Recreational activities
Montipora angulata,5.4,Ecosystem stresses,5,Biological resource use,Fishing & harvesting aquatic resources
Montipora angulata,9.2,Ecosystem stresses,9,Pollution,Industrial & military effluents
Montipora angulata,8.1,Species mortality,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Montipora angulata,8.1,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Montipora angulata,8.1,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Montipora angulata,9.1,Ecosystem stresses,9,Pollution,Domestic & urban waste water
Montipora angulata,1.1,Ecosystem stresses,1,Residential & commercial development,Housing & urban areas
Montipora angulata,1.3,Ecosystem stresses,1,Residential & commercial development,Tourism & recreation areas
Montipora angulata,5.4,Species mortality,5,Biological resource use,Fishing & harvesting aquatic resources
Montipora angulata,4.3,Ecosystem stresses,4,Transportation & service corridors,Shipping lanes
Montipora angulata,8.2,Species mortality,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Montipora angulata,8.2,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Montipora angulata,8.2,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Moseleya latistellata,9.5,Ecosystem stresses,9,Pollution,Air-borne pollutants
Moseleya latistellata,11.3,Ecosystem stresses,11,Climate change & severe weather,Temperature extremes
Moseleya latistellata,11.3,Species mortality,11,Climate change & severe weather,Temperature extremes
Moseleya latistellata,11.3,Species disturbance,11,Climate change & severe weather,Temperature extremes
Moseleya latistellata,11.3,Indirect species effects,11,Climate change & severe weather,Temperature extremes
Moseleya latistellata,11.4,Ecosystem stresses,11,Climate change & severe weather,Storms & flooding
Moseleya latistellata,9.3,Ecosystem stresses,9,Pollution,Agricultural & forestry effluents
Moseleya latistellata,1.2,Ecosystem stresses,1,Residential & commercial development,Commercial & industrial areas
Moseleya latistellata,6.1,Species disturbance,6,Human intrusions & disturbance,Recreational activities
Moseleya latistellata,5.4,Ecosystem stresses,5,Biological resource use,Fishing & harvesting aquatic resources
Moseleya latistellata,9.2,Ecosystem stresses,9,Pollution,Industrial & military effluents
Moseleya latistellata,8.1,Species mortality,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Moseleya latistellata,8.1,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Moseleya latistellata,8.1,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Moseleya latistellata,9.1,Ecosystem stresses,9,Pollution,Domestic & urban waste water
Moseleya latistellata,1.1,Ecosystem stresses,1,Residential & commercial development,Housing & urban areas
Moseleya latistellata,1.3,Ecosystem stresses,1,Residential & commercial development,Tourism & recreation areas
Moseleya latistellata,5.4,Species mortality,5,Biological resource use,Fishing & harvesting aquatic resources
Moseleya latistellata,4.3,Ecosystem stresses,4,Transportation & service corridors,Shipping lanes
Moseleya latistellata,8.2,Species mortality,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Moseleya latistellata,8.2,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Moseleya latistellata,8.2,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Catalaphyllia jardinei,9.5,Ecosystem stresses,9,Pollution,Air-borne pollutants
Catalaphyllia jardinei,11.3,Ecosystem stresses,11,Climate change & severe weather,Temperature extremes
Catalaphyllia jardinei,11.3,Species mortality,11,Climate change & severe weather,Temperature extremes
Catalaphyllia jardinei,11.3,Species disturbance,11,Climate change & severe weather,Temperature extremes
Catalaphyllia jardinei,11.3,Indirect species effects,11,Climate change & severe weather,Temperature extremes
Catalaphyllia jardinei,11.4,Ecosystem stresses,11,Climate change & severe weather,Storms & flooding
Catalaphyllia jardinei,9.3,Ecosystem stresses,9,Pollution,Agricultural & forestry effluents
Catalaphyllia jardinei,1.2,Ecosystem stresses,1,Residential & commercial development,Commercial & industrial areas
Catalaphyllia jardinei,6.1,Species disturbance,6,Human intrusions & disturbance,Recreational activities
Catalaphyllia jardinei,5.4,Ecosystem stresses,5,Biological resource use,Fishing & harvesting aquatic resources
Catalaphyllia jardinei,9.2,Ecosystem stresses,9,Pollution,Industrial & military effluents
Catalaphyllia jardinei,8.1,Species mortality,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Catalaphyllia jardinei,8.1,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Catalaphyllia jardinei,8.1,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Catalaphyllia jardinei,9.1,Ecosystem stresses,9,Pollution,Domestic & urban waste water
Catalaphyllia jardinei,1.1,Ecosystem stresses,1,Residential & commercial development,Housing & urban areas
Catalaphyllia jardinei,1.3,Ecosystem stresses,1,Residential & commercial development,Tourism & recreation areas
Catalaphyllia jardinei,5.4,Species mortality,5,Biological resource use,Fishing & harvesting aquatic resources
Catalaphyllia jardinei,4.3,Ecosystem stresses,4,Transportation & service corridors,Shipping lanes
Catalaphyllia jardinei,8.2,Species mortality,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Catalaphyllia jardinei,8.2,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Catalaphyllia jardinei,8.2,Indirect species effects,8,"Invasive & other problematic species, genes & diseases",Problematic native species/diseases
Montipora hodgsoni,9.5,Ecosystem stresses,9,Pollution,Air-borne pollutants
Montipora hodgsoni,11.3,Ecosystem stresses,11,Climate change & severe weather,Temperature extremes
Montipora hodgsoni,11.3,Species mortality,11,Climate change & severe weather,Temperature extremes
Montipora hodgsoni,11.3,Species disturbance,11,Climate change & severe weather,Temperature extremes
Montipora hodgsoni,11.3,Indirect species effects,11,Climate change & severe weather,Temperature extremes
Montipora hodgsoni,11.4,Ecosystem stresses,11,Climate change & severe weather,Storms & flooding
Montipora hodgsoni,9.3,Ecosystem stresses,9,Pollution,Agricultural & forestry effluents
Montipora hodgsoni,1.2,Ecosystem stresses,1,Residential & commercial development,Commercial & industrial areas
Montipora hodgsoni,6.1,Species disturbance,6,Human intrusions & disturbance,Recreational activities
Montipora hodgsoni,5.4,Ecosystem stresses,5,Biological resource use,Fishing & harvesting aquatic resources
Montipora hodgsoni,9.2,Ecosystem stresses,9,Pollution,Industrial & military effluents
Montipora hodgsoni,8.1,Species mortality,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
Montipora hodgsoni,8.1,Species disturbance,8,"Invasive & other problematic species, genes & diseases",Invasive non-native/alien species/diseases
